State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
0,0,0,4,3,0,0,0.0,0.0,0.0,0.4285714285714286
1,1,1,0,2,0,0,1.0,1.0000000000000002,1.0,0.0
1,1,1,3,1,0,0,0.6531234128999491,0.7264150943396227,0.7558752997601919,0.0285714285714285
0,0,0,2,4,0,0,0.4378478664192951,0.4240409207161125,0.4793388429752065,0.2857142857142857
0,0,0,3,2,0,0,0.0,0.0,0.0,0.0
0,0,0,4,1,0,0,0.08286951144094,0.0419437340153452,0.0613931523022432,1.0
1,1,1,0,0,0,0,0.0606060606060606,0.0230179028132992,0.0407319952774498,0.9285714285714286
1,1,1,1,3,0,0,1.0,1.0,1.0,0.2142857142857142
0,0,0,0,0,0,0,1.0,1.0,1.0,0.2592592592592592
0,0,0,1,2,0,0,0.0,0.0,0.0,0.074074074074074
